cat01_code,企業規模_基本,cat02_code,産業分類,cat03_code,性別_基本,cat04_code,年齢階級_基本,cat05_code,学歴_基本８区分（2020年～）,cat06_code,民・公区分,time_code,時間軸（2020～2023）,年齢(歳),勤続年数(年),所定内給与(千円),年間賞与(千円)
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,01,学歴計,02,民営事業所,2023000000,2023年,39.7,11.6,404.2,374.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,02,中学,02,民営事業所,2023000000,2023年,41.7,14.1,362.5,332.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,03,高校,02,民営事業所,2023000000,2023年,44.7,15.5,353.9,333.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,04,専門学校,02,民営事業所,2023000000,2023年,42.5,15.9,388.7,358.6
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,05,高専・短大,02,民営事業所,2023000000,2023年,43.6,14.9,360.6,336.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,06,大学,02,民営事業所,2023000000,2023年,38.7,10.5,412.2,383.1
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,07,大学院,02,民営事業所,2023000000,2023年,37.7,10.3,430.3,385.8
03,100～999人,37,Ｇ 情報通信業,01,男女計,01,年齢計,08,不明,02,民営事業所,2023000000,2023年,38.8,6.4,408.7,354.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,02,～19歳,01,学歴計,02,民営事業所,2023000000,2023年,19.2,0.8,209.8,204.3
03,100～999人,37,Ｇ 情報通信業,01,男女計,02,～19歳,02,中学,02,民営事業所,2023000000,2023年,19.5,0.5,216.8,204.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,02,～19歳,03,高校,02,民営事業所,2023000000,2023年,19.2,0.8,209.7,204.4
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,01,学歴計,02,民営事業所,2023000000,2023年,23.5,1.5,262.5,240.9
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,02,中学,02,民営事業所,2023000000,2023年,21.1,1.1,192.3,188.2
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,03,高校,02,民営事業所,2023000000,2023年,22.8,3.6,239.4,218.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,04,専門学校,02,民営事業所,2023000000,2023年,22.9,1.9,243.4,227.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,05,高専・短大,02,民営事業所,2023000000,2023年,22.8,2.2,260.7,232.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,06,大学,02,民営事業所,2023000000,2023年,23.6,1.2,267.1,244.7
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,07,大学院,02,民営事業所,2023000000,2023年,24.5,0.5,255.4,245.0
03,100～999人,37,Ｇ 情報通信業,01,男女計,03,20～24歳,08,不明,02,民営事業所,2023000000,2023年,24.0,1.5,286.5,262.5
03,100～999人,37,Ｇ 情報通信業,01,男女計,04,25～29歳,01,学歴計,02,民営事業所,2023000000,2023年,27.4,3.9,320.1,283.7
